"DriversKilled";"drivers";"front";"rear";"PetrolPrice";"law";"date"
136;1827;860;369;0.104193034427699;0;1980.75
117;1737;825;378;0.101933972880902;0;1980.83333333334
137;1941;911;392;0.102793824574291;0;1980.91666666667
111;1474;704;284;0.10476034144929;0;1981
106;1458;691;316;0.104002535534347;0;1981.08333333334
98;1542;688;321;0.116655515402424;0;1981.16666666667
84;1404;714;358;0.11516147558196;0;1981.25
94;1522;814;378;0.112989543494316;0;1981.33333333334
105;1385;736;382;0.113860643932406;0;1981.41666666667
123;1641;876;433;0.119118081064489;0;1981.5
109;1510;829;506;0.124489986005886;0;1981.58333333334
130;1681;818;428;0.123222945411622;0;1981.66666666667
153;1938;942;479;0.12067793212866;0;1981.75
134;1868;782;370;0.121048982651421;0;1981.83333333334
99;1726;823;349;0.116968571491487;0;1981.91666666667
115;1456;595;238;0.112750259392875;0;1982
104;1445;673;285;0.108079306704711;0;1982.08333333334
131;1456;660;324;0.108838515984019;0;1982.16666666667
108;1365;676;346;0.111291766408542;0;1982.25
103;1487;755;410;0.111304009176187;0;1982.33333333334
115;1558;815;411;0.115454357532553;0;1982.41666666667
122;1488;867;496;0.114768296055692;0;1982.5
122;1684;933;534;0.117207430931122;0;1982.58333333334
125;1594;798;396;0.119076397031248;0;1982.66666666667
137;1850;950;470;0.117965862171995;0;1982.75
138;1998;825;385;0.117449127100423;0;1982.83333333334
152;2079;911;411;0.116988457838933;0;1982.91666666667
120;1494;619;281;0.11261053571781;0;1983
95;1057;426;300;0.113657015681422;1;1983.08333333334
100;1218;475;318;0.113144445252379;1;1983.16666666667
89;1168;556;391;0.118495534815352;1;1983.25
82;1236;559;398;0.117969401200945;1;1983.33333333334
89;1076;483;337;0.1176866141183;1;1983.41666666667
60;1174;587;477;0.120059238961094;1;1983.5
84;1139;615;422;0.119437745680998;1;1983.58333333334
113;1427;618;495;0.118881271786551;1;1983.66666666667
126;1487;662;471;0.118462360710195;1;1983.75
122;1483;519;368;0.118016598400236;1;1983.83333333334
118;1513;585;345;0.117706622543368;1;1983.91666666667
92;1357;483;296;0.117776089941536;1;1984
86;1165;434;319;0.114796991716514;1;1984.08333333334
81;1282;513;349;0.11573525277085;1;1984.16666666667
84;1110;548;375;0.115356263024722;1;1984.25
87;1297;586;441;0.114815360704668;1;1984.33333333334
90;1185;522;465;0.114777477886645;1;1984.41666666667
79;1222;601;472;0.114935980147534;1;1984.5
96;1284;644;521;0.114796991716514;1;1984.58333333334
122;1444;643;429;0.114093156728444;1;1984.66666666667
120;1575;641;408;0.116465521799171;1;1984.75
137;1737;711;490;0.116026113132354;1;1984.83333333334
154;1763;721;491;0.116066729379379;1;1984.91666666667
